app_name,category
nox,emulator
happymod,emulator
ftiOS,emulator
xmodgames,emulator
cheatengine,emulator
luckypatcher,emulator
ipabox,emulator
leoplaycard,emulator
gamecih,emulator
frostymod,emulator
hackerbot,emulator
